Age,Height,Weight,FCVC,NCP,CH2O,FAF,TUE,Height_m,BMI,Gender_Female,Gender_Male,family_history_with_overweight_no,family_history_with_overweight_yes,FAVC_no,FAVC_yes,CAEC_Always,CAEC_Frequently,CAEC_Sometimes,CAEC_no,SMOKE_no,SMOKE_yes,SCC_no,SCC_yes,CALC_Always,CALC_Frequently,CALC_Sometimes,CALC_no,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking
-0.8309231711367714,0.6205410000631052,-0.289868828099849,-0.8095852938684521,0.4023532302146519,1.6019266592521622,-0.024257370285858674,2.2420222951428874,0.6205410000631071,-0.523247690974794,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.36149465368892225,0.5139950526078937,-0.6354166257396147,-0.8095852938684521,0.4023532302146519,1.6019266592521622,-0.024257370285858674,0.5764538328718619,0.5139950526078964,-0.8537633523222634,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.9873993436193877,-0.018734684668163807,-1.1998113618845654,1.080202056526309,0.4023532302146519,-0.029305163774832554,2.3361143512557208,-1.0891146293991636,-0.018734684668161142,-1.3186249756025978,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.751685358629472,1.307218976817197,0.04247247826192266,0.6900762456981648,1.4197644915177676,0.6705895309813069,1.2675056221339231,-0.4339499502171576,1.3072189768171965,-0.41953032636719506,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.1305359223978613,-1.7701582781264202,-1.1245923637175421,-0.8614694055735403,-0.4496407454624568,-0.5006104494747301,-1.091715418193405,0.894665684294128,-1.7701582781264198,-0.6758570976062992,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.008121468760405723,0.15895199190289283,-0.04946972790807395,-0.8095852938684521,-0.015462945493166036,0.10761880421823034,-0.458372216568343,0.5661039904473096,0.15895199190289502,-0.09510878925207182,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5179708261715386,-1.9365617388619685,-1.7104542183966633,1.080202056526309,-2.1779376168872213,-1.6605369868018272,-1.2044432310566484,-1.0891146293991636,-1.9365617388619678,-1.4380536593916684,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4501273805045034,-0.23699405803016294,0.62670830018795,0.45133563014809364,-2.0521613395452403,-1.2919471065342933,-0.9601990464266904,0.5814688595117601,-0.23699405803016113,0.8463032512407677,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.7403025271917578,-0.4110581723877423,-0.2462849995661447,-0.8095852938684521,0.4023532302146519,-0.041461103320029745,-1.1581716840134082,1.4570631968330248,-0.41105817238774317,-0.09035743866190873,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-0.5179708261715386,0.1943572102422592,-0.44344562705085594,-0.8095852938684521,0.4023532302146519,-1.6605369868018272,-0.024257370285858674,-1.0891146293991636,0.19435721024226038,-0.5422401198727202,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
